website,photo,ready_to_link,ordernum,lat,lon,city,name_search,photo_version,zip,country_short_code,bad_standing,effective_date,status,address,active,state_code,show_on_map,kids,name,country,org_type,aid,full_state
http://crossfitnq.com.au/,https://profilepicsbucket.crossfit.com/83ea6-A893_1-184.jpg,1,237,-19.26602,146.786637,Townsville,crossfit,1,4810,AU,0,2006-05-03T07:00:00Z,0,Unit 7, 197 Ingham Rd, West End,1,QLD,1,1,CrossFit North Queensland,Australia,Commercial,893,Queensland
http://www.crossfitsydney.com.au/,https://profilepicsbucket.crossfit.com/332dc-A885_2-184.jpg,1,239,-33.9025625,151.198588,Alexandria,crossfit,2,2015,AU,0,2006-05-11T07:00:00Z,0,32 McCauley Street,1,NSW,1,0,CrossFit Sydney,Australia,Commercial,885,New South Wales
http://www.crossfitfairfax.com/,https://profilepicsbucket.crossfit.com/0e926-A819_2-184.jpg,1,240,38.8774102,-77.2337168,Fairfax,crossfit,2,22031,US,0,2006-05-14T07:00:00Z,0,2831 Dorr Ave,1,VA,1,1,CrossFit Fairfax,United States,Commercial,819,Virginia
http://www.crossfitsacramento.com/,https://profilepicsbucket.crossfit.com/7f13b-A876_1-184.jpg,1,248,38.5858741,-121.4014944,Sacramento,crossfit,1,95825,US,0,2006-05-26T07:00:00Z,0,1146 Fulton Ave,1,CA,1,0,CrossFit Sacramento,United States,Commercial,876,California
http://www.crossfitmelbourne.com.au/,https://profilepicsbucket.crossfit.com/71843-A830_2-184.jpg,1,268,-37.8876043,145.0278334,Caulfield South,crossfit,2,3162,AU,0,2006-07-13T07:00:00Z,0,First floor, 904 Glen Huntly Rd,1,VIC,1,0,CrossFit Melbourne,Australia,Commercial,830,Victoria
http://www.diablocrossfit.com/,https://profilepicsbucket.crossfit.com/a682e-A793_8-184.jpg,1,251,37.942488,-122.053063,Pleasant Hill,diablo,8,94523,US,0,2006-07-21T07:00:00Z,0,2447 Estand Way,1,CA,1,1,Diablo CrossFit,United States,Commercial,793,California
http://www.crossfitoceancity.com/,https://profilepicsbucket.crossfit.com/208ef-A840_6-184.jpg,1,247,38.373193,-75.13981,Berlin,crossfit,6,21811,US,0,2006-07-22T07:00:00Z,0,11307 Manklin Creek, Unit A2,1,MD,1,1,CrossFit Ocean City,United States,Commercial,840,Maryland
http://www.crossfitchampions.com/,https://profilepicsbucket.crossfit.com/c6773-A788_2-184.jpg,1,246,30.0222011,-95.6094689,Tomball,crossfit,2,77377,US,0,2006-07-28T07:00:00Z,0,17575 North Eldridge Parkway, Suite C,1,TX,1,1,CrossFit Champions,United States,Commercial,788,Texas
http://crossfitflagstaff.com/,https://profilepicsbucket.crossfit.com/bfc0f-A820_3-184.jpg,1,249,35.190061,-111.638427,Flagstaff,crossfit,3,86001,US,0,2006-08-03T07:00:00Z,0,1072 E. Old Canyon Ct,1,AZ,1,1,CrossFit Flagstaff,United States,Commercial,820,Arizona
http://www.crossfitlasvegas.com/,https://profilepicsbucket.crossfit.com/0c095-A827_2-184.jpg,1,258,36.052553,-115.182936,Las Vegas,crossfit,2,89139,US,0,2006-08-10T07:00:00Z,0,353 E Bonneville Ave,1,NV,1,1,CrossFit Las Vegas,United States,Commercial,827,Nevada
